sample_id,target_byte,repeat,timing_ns
0,194,0,118291
1,194,1,50916
2,194,2,52041
3,194,3,50583
4,194,4,45500
5,194,5,36416
6,194,6,44125
7,194,7,39500
8,194,8,54291
9,194,9,39125
10,194,10,53458
11,194,11,51250
12,194,12,33833
13,194,13,34666
14,194,14,27708
15,194,15,47333
16,194,16,34041
17,194,17,34416
18,194,18,36375
19,194,19,29125
20,92,0,33916
21,92,1,34500
22,92,2,35250
23,92,3,33416
24,92,4,31791
25,92,5,31166
26,92,6,32250
27,92,7,31208
28,92,8,41458
29,92,9,33625
30,92,10,34833
31,92,11,30166
32,92,12,34333
33,92,13,29958
34,92,14,29583
35,92,15,29791
36,92,16,34791
37,92,17,41125
38,92,18,32166
39,92,19,68375
40,117,0,32625
41,117,1,34333
42,117,2,33333
43,117,3,33791
44,117,4,33250
45,117,5,33708
46,117,6,33291
47,117,7,35250
48,117,8,33791
49,117,9,35541
50,117,10,33791
51,117,11,32625
52,117,12,35750
53,117,13,36291
54,117,14,33958
55,117,15,35833
56,117,16,35583
57,117,17,34250
58,117,18,35000
59,117,19,23583
60,101,0,34625
61,101,1,34583
62,101,2,33333
63,101,3,35250
64,101,4,32958
65,101,5,29958
66,101,6,32083
67,101,7,33958
68,101,8,37041
69,101,9,35583
70,101,10,31208
71,101,11,23000
72,101,12,26208
73,101,13,31500
74,101,14,29500
75,101,15,31500
76,101,16,32916
77,101,17,36791
78,101,18,36833
79,101,19,33000
80,103,0,33333
81,103,1,34708
82,103,2,30250
83,103,3,32833
84,103,4,33500
85,103,5,33583
86,103,6,30583
87,103,7,34541
88,103,8,33916
89,103,9,31750
90,103,10,34000
91,103,11,29875
92,103,12,31750
93,103,13,33250
94,103,14,33791
95,103,15,34083
96,103,16,38541
97,103,17,36166
98,103,18,35416
99,103,19,35750
100,123,0,66250
101,123,1,33708
102,123,2,36875
103,123,3,41791
104,123,4,34708
105,123,5,35750
106,123,6,31375
107,123,7,31583
108,123,8,43958
109,123,9,35500
110,123,10,33083
111,123,11,49833
112,123,12,35458
113,123,13,34875
114,123,14,35291
115,123,15,32083
116,123,16,41541
117,123,17,36916
118,123,18,34666
119,123,19,24583
120,45,0,36250
121,45,1,35166
122,45,2,35083
123,45,3,34958
124,45,4,35833
125,45,5,35625
126,45,6,37500
127,45,7,34958
128,45,8,38375
129,45,9,38000
130,45,10,215500
131,45,11,37208
132,45,12,38541
