key_id,timing_min,timing_q05,timing_q10,timing_q25,timing_median,timing_mean,timing_std,timing_iqr,timing_range,timing_skew,num_repeats,hw_sum,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,target_lsb_c0,target_hw_raw,target_top2_c0,target_hw_parity,target_hw_bin
0,540.0,540.0,540.0,540.0,540.0,540.0,0.0,0.0,0.0,0.0,1.0,94,329,1938,420,200,1876,3048,2487,977,2523,2145,1055,1453,2153,3326,1477,314,1,94,0,0,1
7,561.0,563.5,566.0,573.5,586.0,586.0,25.0,25.0,50.0,0.0,2.0,94,2848,2623,54,33,3226,3135,2491,1081,1594,2022,1367,3082,1122,935,2963,1434,0,94,2,0,1
9,596.0,596.9,597.8,600.5,605.0,604.0,6.164414002968976,7.5,15.0,-0.5855827262813879,3.0,93,2172,1748,2982,2998,579,1052,1389,1724,1825,1328,228,1159,590,1398,1503,155,0,93,2,1,1
10,563.0,563.0,563.0,563.0,563.0,563.0,0.0,0.0,0.0,0.0,1.0,82,2395,1065,684,1440,32,2235,978,3249,2830,1856,794,214,995,2054,2749,1793,1,82,2,0,0
13,548.0,553.4,558.8,575.0,602.0,587.3333333333334,28.110891523077353,32.0,64.0,-1.5691136729280803,3.0,87,548,1937,1435,278,1286,1199,1406,2876,2469,3080,2891,301,2027,22,1792,1924,0,87,0,1,0
14,552.0,553.7,555.4,560.5,569.0,569.0,17.0,17.0,34.0,0.0,2.0,87,1280,156,1858,3183,1193,485,234,923,2857,773,665,3103,1825,2010,1553,2155,0,87,1,1,0
15,598.0,598.4,598.8,600.0,602.0,602.0,4.0,4.0,8.0,0.0,2.0,93,2767,2826,2468,418,1601,1268,1376,1650,669,2737,1173,2783,3325,2125,497,1697,1,93,2,1,1
17,611.0,611.0,611.0,611.0,611.0,611.0,0.0,0.0,0.0,0.0,1.0,95,3097,658,1444,988,2970,743,2076,1758,3000,1686,1451,1933,906,1963,545,1075,1,95,3,1,1
18,537.0,539.9,542.8,551.5,566.0,566.0,29.0,29.0,58.0,0.0,2.0,91,2872,1524,964,1055,1588,1166,1562,1149,147,650,1593,729,1233,2343,2965,2263,0,91,2,1,1
19,541.0,544.2,547.4,557.0,569.0,569.2,20.653329029480936,19.0,62.0,0.4970440983437529,5.0,84,1607,1565,2428,3018,1113,1284,1587,421,3128,1817,392,1037,3088,469,489,1762,1,84,1,0,0
21,541.0,542.75,544.5,555.75,564.5,569.625,20.62727260206739,35.5,58.0,0.1346963661307204,8.0,82,246,1636,2771,3114,1175,1794,3216,483,2572,2098,2649,1882,3248,2224,1072,1841,0,82,0,0,0
22,560.0,561.65,563.3,568.25,580.0,581.5,17.528548142958105,25.0,46.0,0.3241778384379417,4.0,89,1547,3085,2358,837,766,69,2876,1729,1468,164,3113,1575,2350,689,1799,953,1,89,1,1,0
24,598.0,598.0,598.0,598.0,598.0,598.0,0.0,0.0,0.0,0.0,1.0,106,2943,110,3103,1693,920,468,1450,2790,3037,3097,2945,1763,2955,1690,2545,1725,1,106,2,0,1
25,561.0,563.25,565.5,572.25,576.5,574.5,8.381527307120106,6.5,23.0,-1.1648937641254509,4.0,84,3189,130,3088,1119,2555,2575,3206,75,189,564,1865,2790,1427,451,1104,2200,1,84,3,0,0
26,565.0,566.95,568.9,574.75,584.5,584.5,19.5,19.5,39.0,0.0,2.0,100,2022,3235,2571,743,2768,1460,2464,2427,3266,1890,2442,2781,3068,3297,2606,2403,0,100,1,0,1
27,534.0,535.95,537.9,543.75,559.0,559.0,19.60867155112758,30.5,50.0,0.0,4.0,96,1264,2469,1078,417,44,625,959,3087,3306,1457,2606,2542,2886,919,1495,1825,0,96,1,0,1
28,540.0,541.4,542.8,547.0,553.0,561.0,22.969545054266966,13.0,65.0,1.7877130604837919,5.0,90,359,588,2619,288,221,2803,2212,1071,2599,3116,1642,2850,47,2179,2716,2046,1,90,0,0,0
30,588.0,588.0,588.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,1.0,95,2871,958,239,1964,1419,260,842,180,315,376,55,2933,2268,3143,3279,680,1,95,2,1,1
33,576.0,576.7,577.4,583.25,594.5,591.375,9.771610665596537,16.5,26.0,-0.5582160908164098,8.0,99,1674,2939,1863,303,3296,1806,720,3215,2271,149,3068,1953,2815,2082,2436,1861,0,99,1,1,1
34,555.0,555.3,555.6,556.5,558.0,570.6666666666666,20.07209228976613,22.0,44.0,1.7030770861459466,3.0,96,2981,2356,2437,1599,2277,494,2392,1759,520,612,2779,2900,2906,2385,996,826,1,96,2,0,1
35,559.0,559.0,559.0,559.0,559.0,559.0,0.0,0.0,0.0,0.0,1.0,91,1463,1606,1337,1922,3030,245,1673,658,35,3044,1204,133,1846,106,2227,2014,1,91,1,1,1
36,603.0,603.05,603.1,603.25,603.5,603.5,0.5,0.5,1.0,0.0,2.0,92,3106,1463,331,2010,2784,965,3053,2357,1164,1699,1337,673,2552,968,546,798,0,92,3,0,1
38,565.0,566.8,568.6,574.0,583.0,579.3333333333334,10.530379332620877,12.5,25.0,-1.1759556209047994,3.0,87,2410,1790,699,2598,2133,3211,2484,1409,565,1352,1074,152,2684,2887,2203,1064,0,87,2,1,0
40,555.0,558.6,562.2,573.0,581.5,578.0,14.33527118683145,13.5,39.0,-1.1544464528017542,4.0,96,1975,1667,935,2006,2912,1686,2437,693,2162,1935,764,2840,2304,1797,1509,2755,1,96,1,0,1
41,568.0,568.0,568.0,568.0,568.0,568.0,0.0,0.0,0.0,0.0,1.0,91,1666,854,1747,3256,3074,1419,2926,2840,590,2806,1248,1152,1035,1531,251,1891,0,91,1,1,1
51,571.0,571.0,571.0,571.0,571.0,571.0,0.0,0.0,0.0,0.0,1.0,92,1849,1452,1450,1346,2340,855,1792,2058,2384,1636,2927,2804,1007,1392,2359,1817,1,92,1,0,1
