kde_p05,kde_d05,kde_p10,kde_d10,kde_p15,kde_d15,kde_p20,kde_d20,kde_p25,kde_d25,kde_p30,kde_d30,kde_p35,kde_d35,kde_p40,kde_d40,kde_p45,kde_d45,kde_p50,kde_d50,kde_p55,kde_d55,kde_p60,kde_d60,kde_p65,kde_d65,kde_p70,kde_d70,kde_p75,kde_d75,kde_p80,kde_d80,kde_p85,kde_d85,kde_p90,kde_d90,kde_p95,kde_d95,timing_min,timing_median,timing_mean,timing_std,timing_iqr,timing_skew,timing_kurtosis,num_repeats,key_id,valid_ct,message_hw,coeff0_hw,sk_byte0,target_rejection,target_msg_hw_parity,target_coeff0_hw_bin,target_sk_lsb,target_msg_hw_bin
544.95,0.01897295862222477,546.9,0.018735127784909968,548.85,0.018429123111324865,550.8,0.018501554845013066,552.75,0.01885523213396262,554.7,0.018917069911755416,558.2,0.016441027234150002,564.8,0.005534687445138852,571.4,0.0005417639465958581,578.0,2.9963352475957317e-05,584.6,0.0005416260725870465,591.2,0.005517689273099584,597.8,0.015852565008610705,602.2,0.01590616236216076,605.5,0.011280326266178706,608.8,0.006868984177992538,612.1,0.006116805997309814,615.4,0.009569806320952421,618.7,0.01462055955733648,543.0,578.0,580.25,32.04976598978532,52.75,0.1911054094197757,-3.7944812140348034,4,0,0,120,3,36,1,0,0,0,0
538.25,0.01700643565667019,540.5,0.018198302236606366,542.75,0.017739841252301835,545.0,0.015666553819075692,550.0,0.007621718370146267,557.2,0.005514347132596341,564.4,0.007654261889217635,571.6,0.004316505777066908,578.65,0.0087960802586711,584.5,0.006557347365613301,590.35,0.011390810770609522,593.8,0.01530447976828039,596.95,0.01951311989727933,599.5,0.02274365446481969,601.75,0.023488340741050658,603.0,0.022516666236416,603.0,0.022516666236416,604.3,0.02047907009816341,610.15,0.009379586992023705,536.0,584.5,577.4,27.699097458220546,51.75,-0.28722238299439273,-1.63195647822171,10,1,1,122,8,239,0,0,1,1,0
595.25,0.026486575868246338,597.5,0.003972086416121442,599.75,0.000178248505217236,602.0,0.0005572494935697341,604.25,0.00860443323401783,606.5,0.03763750444227359,608.5,0.048321281483101775,610.0,0.030263151865649297,611.5,0.01104593341480445,613.0,0.004405410862808046,614.5,0.011299621311041013,616.0,0.03245744364019157,617.5,0.05911226173852642,618.3,0.06934891424011679,618.75,0.0729571469936503,619.2,0.07490437223129702,619.65,0.07518236029784071,620.1,0.07379176694371174,620.55,0.07073395120421892,593.0,613.0,610.0,10.931605554537724,14.5,-1.0202753486831087,-0.07140106090579579,4,2,0,137,8,183,1,1,1,1,1
563.25,0.0028960473463438756,569.5,1.4693371202026265e-05,575.75,0.0029294357188408694,582.0,0.027169663520751997,583.25,0.029974785158564332,584.5,0.030879089553388032,585.75,0.029974786926361033,587.0,0.027169680365184766,591.25,0.008733231716328466,595.5,0.0016012074567059256,599.75,0.017009934958711604,604.0,0.0458581905952898,604.0,0.0458581905952898,604.0,0.0458581905952898,604.0,0.0458581905952898,604.0,0.0458581905952898,605.5,0.04542763660631937,607.0,0.040256921571375795,608.5,0.03405379287262886,557.0,595.5,590.6666666666666,18.033918659631972,20.75,-1.0464279865458683,0.6137656788947696,6,3,0,131,5,204,1,1,0,0,1
545.0,0.024032431151972476,545.0,0.024032431151972476,545.4,0.02433066538113103,548.2,0.023292543167166106,551.0,0.019120525902219875,555.3000000000001,0.011334875537824767,563.35,0.0011322732575513583,571.4,0.007348683817852743,576.9,0.016483118028528695,579.0,0.017531134223706838,581.1,0.016593151296538496,584.6,0.011974624606953345,589.15,0.00827076776761276,593.7,0.01083385740357596,600.0,0.006093359806155067,607.0,0.0043754179562244064,614.0,0.020411535149782542,615.3,0.02148582555729824,615.65,0.021494376084416553,545.0,579.0,578.375,27.2118425506249,49.0,0.126348744309242,-1.6560439563478058,8,4,0,134,5,169,1,0,0,1,1
537.25,0.012717864407402253,540.5,0.012537445683370818,543.75,0.014227106937310977,547.0,0.016946719834380668,549.0,0.01814144488365719,551.0,0.018500650844484132,553.0,0.017848320687755385,555.0,0.01615409185026511,560.5,0.00819524070778364,566.0,0.004319915894391854,571.5,0.012338714213085493,577.0,0.02297072298252376,577.5,0.023235353994445172,578.0,0.023323626511375744,578.5,0.02323336449248962,579.0,0.022966525782246706,592.75,0.0008201451454080613,606.5,1.5681886810208065e-07,620.25,0.0005891917924532168,534.0,566.0,571.0,32.32645975048923,29.5,1.2309150730127651,1.7759140129575783,6,6,0,129,4,48,1,1,0,0,1
569.5,0.006016980860907712,574.0,0.00016970321590050556,578.5,0.006017413586171608,583.0,0.025184128731293044,585.0,0.020804607648349738,587.0,0.01621352248896172,589.0,0.020804614611104062,591.0,0.025184482579547796,594.25,0.011938039013031154,597.5,0.003857690574364693,600.75,0.023835820195877398,604.0,0.05180244827212911,604.0,0.05180244827212911,604.0,0.05180244827212911,604.0,0.05180244827212911,604.0,0.05180244827212911,605.5,0.048553559979300186,607.0,0.03973924307886447,608.5,0.033302141625737296,565.0,597.5,592.8333333333334,15.377653339252458,19.0,-0.9210299176290108,0.07384633191167733,6,7,0,129,7,125,1,1,1,1,1
537.9,0.008660454854079373,542.8,0.008785505493482247,547.75,0.008907193476013304,553.0,0.008014104254698702,558.25,0.008263797770969772,563.7,0.008187525120575167,569.65,0.00656774936539711,575.6,0.00755725439698257,584.55,0.0053509921193001485,597.5,0.00027203296865964014,610.45,0.007408969685847982,617.0,0.014534255996581324,618.75,0.015323663136471247,620.5,0.015514117196914685,623.75,0.014904438537738336,627.6,0.014365183495105108,631.45,0.014830540127923276,633.8,0.01491330010090654,635.9,0.014339432238240624,533.0,597.5,591.0,38.242646351945886,65.5,-0.2537816952408632,-1.8688234582511507,8,9,0,122,5,22,1,0,0,0,0
609.25,,610.5,,611.75,,613.0,,614.25,,615.5,,616.75,,618.0,,619.25,,620.5,,621.75,,623.0,,624.25,,625.5,,626.75,,628.0,,629.25,,630.5,,631.75,,608.0,620.5,,12.5,0.0,0.0,0.0,2,11,1,121,5,166,0,1,0,0,0
555.0,0.0001698678369767126,565.0,0.004410999456012564,571.8,0.012726092383973504,575.4,0.011132858119655238,579.0,0.013854438196684353,582.6,0.011532349779526798,586.2,0.017535630398088545,588.8,0.02768808751953724,590.4,0.032718835795898606,592.0,0.03484597100921084,592.4,0.03483011866808239,592.8,0.03459824747002575,594.0,0.03275214131913287,596.0,0.027153839021416045,598.0,0.020405962263750098,602.8,0.006463637647898161,607.6,0.011022920847153285,611.2,0.017084786957577126,613.6,0.01761618897761192,545.0,592.0,587.8888888888889,20.173935023217155,19.0,-0.8375637152270331,1.008588628713194,9,12,0,120,5,233,1,0,0,1,0
