key_id,repeat,timing_cycles,valid_ct,message_hw,coeff0_hw,sk_byte0
0,1,556,0,120,3,36
0,2,622,0,120,3,36
0,14,543,0,120,3,36
0,26,600,0,120,3,36
1,1,546,1,122,8,239
1,11,536,1,122,8,239
1,14,616,1,122,8,239
1,23,578,1,122,8,239
1,25,591,1,122,8,239
1,27,603,1,122,8,239
1,28,541,1,122,8,239
1,34,562,1,122,8,239
1,39,598,1,122,8,239
1,42,603,1,122,8,239
2,6,621,0,137,8,183
2,8,618,0,137,8,183
2,18,593,0,137,8,183
2,26,608,0,137,8,183
3,2,604,0,131,5,204
3,11,604,0,131,5,204
3,15,582,0,131,5,204
3,21,557,0,131,5,204
3,35,587,0,131,5,204
3,40,610,0,131,5,204
4,0,553,0,134,5,169
4,2,545,0,134,5,169
4,21,615,0,134,5,169
4,31,582,0,134,5,169
4,34,576,0,134,5,169
4,43,616,0,134,5,169
4,47,545,0,134,5,169
4,49,595,0,134,5,169
6,5,534,0,129,4,48
6,12,577,0,129,4,48
6,41,547,0,129,4,48
6,42,555,0,129,4,48
6,44,579,0,129,4,48
6,47,634,0,129,4,48
7,2,604,0,129,7,125
7,13,565,0,129,7,125
7,19,583,0,129,7,125
7,26,604,0,129,7,125
7,29,591,0,129,7,125
7,37,610,0,129,7,125
9,12,533,0,122,5,22
9,19,638,0,122,5,22
9,29,547,0,122,5,22
9,31,632,0,122,5,22
9,37,621,0,122,5,22
9,38,562,0,122,5,22
9,47,616,0,122,5,22
9,48,579,0,122,5,22
11,23,633,1,121,5,166
11,42,608,1,121,5,166
12,10,579,0,120,5,233
12,14,545,0,120,5,233
12,19,593,0,120,5,233
12,22,570,0,120,5,233
12,28,616,0,120,5,233
12,32,592,0,120,5,233
12,36,598,0,120,5,233
12,39,610,0,120,5,233
12,43,588,0,120,5,233
13,2,613,1,118,4,16
13,4,642,1,118,4,16
13,19,609,1,118,4,16
13,20,616,1,118,4,16
13,22,635,1,118,4,16
13,23,590,1,118,4,16
13,24,561,1,118,4,16
13,25,593,1,118,4,16
13,27,546,1,118,4,16
13,31,628,1,118,4,16
13,39,591,1,118,4,16
13,43,594,1,118,4,16
13,46,632,1,118,4,16
14,1,545,0,133,5,193
14,2,580,0,133,5,193
14,10,626,0,133,5,193
14,12,627,0,133,5,193
14,16,601,0,133,5,193
14,20,642,0,133,5,193
14,42,529,0,133,5,193
14,43,530,0,133,5,193
15,5,560,0,140,7,94
15,13,543,0,140,7,94
15,18,628,0,140,7,94
15,20,611,0,140,7,94
15,23,601,0,140,7,94
15,24,628,0,140,7,94
15,27,561,0,140,7,94
15,35,620,0,140,7,94
15,48,609,0,140,7,94
